State,Happiness,Trump Vote,Population
AK,5,51.3,738068
AL,1,62.1,4888949
AR,1,48.1,3020327
AZ,5,48.1,7123898
CA,4,31.5,39776830
CO,5,43.3,5684203
CT,2,40.9,3588683
DC,2,4.1,703608
DE,2,41.7,971180
FL,4,48.6,21312211
GA,3,50.4,10545138
HI,5,30,1426393
IA,3,51.1,3160553
ID,4,59.2,1753860
IL,2,38.4,12769320
IN,1,56.5,6699629
KS,2,56.2,2918515
KY,1,62.5,4472265
LA,1,58.1,4682509
MA,4,32.8,6895917
MD,2,33.9,6079602
ME,5,44.9,1341582
MI,2,47.3,9991177
MN,5,44.9,5628162
MO,2,56.4,6135888
MS,1,57.9,2982785
MT,5,55.6,1062330
NC,3,49.8,10390149
ND,4,63,755238
NE,4,58.7,1932549
NH,3,46.5,1350575
NJ,3,41,9032872
NM,4,40,2090708
NV,2,45.5,3056824
NY,2,36.5,19862512
OH,1,51.3,11694664
OK,1,65.3,3940521
OR,3,39.1,4199563
PA,3,48.2,12823989
RI,1,38.9,1061712
SC,3,54.9,5088916
SD,5,61.5,877790
TN,2,60.7,6782564
TX,5,52.2,28704330
UT,4,45.1,3159345
VA,4,44.4,8525660
VT,5,30.3,623960
WA,3,36.8,7530552
WI,3,47.2,5818049
WV,1,67.9,1803077
WY,4,68.2,573720